key,en,ml
app_name,Healthy Life,ഹെൽത്തി ലൈഫ്
app_tagline,Health & Wellness Tools,ആരോഗ്യ-ക്ഷേമ ഉപകരണങ്ങൾ
common_back_to_home,Back to Home,ഹോമിലേക്ക് മടങ്ങുക
common_back,Back,പിന്നിലേക്ക്
common_next,Next,അടുത്തത്
common_cancel,Cancel,റദ്ദാക്കുക
common_yes,Yes,അതെ
common_no,No,അല്ല
common_optional,Optional,ഓപ്ഷണൽ
common_search,Search,തിരയുക
common_loading,Loading...,ലോഡ് ചെയ്യുന്നു...
common_generating,Generating...,സൃഷ്ടിക്കുന്നു...
common_view_summary,View Summary,സംഗ്രഹം കാണുക
common_start_over,Start Over,വീണ്ടും ആരംഭിക്കുക
common_download_pdf,Download PDF,PDF ഡൗൺലോഡ്
common_step_of,Step {{current}} of {{total}},ഘട്ടം {{current}} / {{total}}
common_tools,Tools,ഉപകരണങ്ങൾ
common_assessment,Assessment,വിലയിരുത്തൽ
common_privacy,Privacy,സ്വകാര്യത
common_disclaimer,Disclaimer,നിരാകരണം
common_start_assessment,Start Assessment,വിലയിരുത്തൽ ആരംഭിക്കുക
hero_badge,Eat well · Act well · Sleep well,നന്നായി കഴിക്കുക · സജീവമായിരിക്കുക · നന്നായി ഉറങ്ങുക
hero_title,Care well,നന്നായി പരിപാലിക്കുക
hero_title_highlight,starts here,ഇവിടെ ആരംഭിക്കുന്നു
hero_description,"Free tools to understand your health better. Calculate your BMI, assess your health risks, and get personalized guidance — all in one place.","നിങ്ങളുടെ ആരോഗ്യം നന്നായി മനസ്സിലാക്കാൻ സൗജന്യ ഉപകരണങ്ങൾ. BMI കണക്കാക്കുക, ആരോഗ്യ അപകടസാധ്യതകൾ വിലയിരുത്തുക, വ്യക്തിഗത മാർഗ്ഗനിർദ്ദേശം നേടുക."
hero_cta_primary,Take Full Assessment,പൂർണ്ണ വിലയിരുത്തൽ
hero_cta_secondary,Explore Tools,ഉപകരണങ്ങൾ കാണുക
stats_quick,Quick,വേഗത്തിൽ
stats_quick_desc,5 min assessment,5 മിനിറ്റ് വിലയിരുത്തൽ
stats_secure,Secure,സുരക്ഷിതം
stats_secure_desc,100% private,100% സ്വകാര്യം
stats_free,Free,സൗജന്യം
stats_free_desc,Instant results,തൽക്ഷണ ഫലങ്ങൾ
stats_easy,Easy,എളുപ്പം
stats_easy_desc,For everyone,എല്ലാവർക്കും
tools_section_title,Health Tools,ആരോഗ്യ ഉപകരണങ്ങൾ
tools_title,Quick health calculators,വേഗത്തിലുള്ള ആരോഗ്യ കാൽക്കുലേറ്ററുകൾ
tools_description,"Use our free tools to get instant insights about your health metrics. No sign-up required, and your data stays on your device.",നിങ്ങളുടെ ആരോഗ്യ മെട്രിക്സിനെക്കുറിച്ച് തൽക്ഷണ ഉൾക്കാഴ്ചകൾ നേടാൻ സൗജന്യ ഉപകരണങ്ങൾ ഉപയോഗിക്കുക.
tool_bmi_title,BMI Calculator,BMI കാൽക്കുലേറ്റർ
tool_bmi_description,Calculate your Body Mass Index and understand what it means for your health.,"നിങ്ങളുടെ ബോഡി മാസ് ഇൻഡക്സ് കണക്കാക്കുക, അതിന്റെ അർത്ഥം മനസ്സിലാക്കുക."
tool_bmi_cta,Calculate now,ഇപ്പോൾ കണക്കാക്കുക
tool_bp_title,BP Interpreter,BP വ്യാഖ്യാതാവ്
tool_bp_description,Enter your blood pressure reading and understand if it's within healthy range.,നിങ്ങളുടെ രക്തസമ്മർദ്ദ റീഡിംഗ് നൽകി അത് ആരോഗ്യകരമായ പരിധിക്കുള്ളിലാണോ മനസ്സിലാക്കുക.
tool_bp_cta,Check now,ഇപ്പോൾ പരിശോധിക്കുക
tool_bp_badge,BP Tool,BP ടൂൾ
tool_bp_subtitle,Understand what your BP reading means,നിങ്ങളുടെ BP റീഡിംഗ് എന്താണ് അർത്ഥമാക്കുന്നതെന്ന് മനസ്സിലാക്കുക
tool_bp_enter_reading,Enter your BP reading,നിങ്ങളുടെ BP റീഡിംഗ് നൽകുക
tool_bp_card_description,Enter the numbers shown on your BP monitor,BP മോണിറ്ററിൽ കാണിക്കുന്ന നമ്പറുകൾ നൽകുക
tool_bp_your_reading,Your Reading,നിങ്ങളുടെ റീഡിംഗ്
tool_bp_crisis_title,Seek Immediate Medical Attention,ഉടനടി വൈദ്യസഹായം തേടുക
tool_bp_crisis_description,A reading this high requires emergency care. Please go to the nearest hospital or call emergency services immediately.,ഇത്രയും ഉയർന്ന റീഡിംഗിന് അടിയന്തര പരിചരണം ആവശ്യമാണ്. ദയവായി അടുത്തുള്ള ആശുപത്രിയിലേക്ക് പോകുക അല്ലെങ്കിൽ എമർജൻസി സേവനങ്ങളെ വിളിക്കുക.
tool_bp_recommendations,Recommendations:,ശുപാർശകൾ:
tool_bp_invalid_range,The values you entered seem unusually high. Please double-check your reading.,നൽകിയ മൂല്യങ്ങൾ അസാധാരണമായി ഉയർന്നതായി തോന്നുന്നു. ദയവായി റീഡിംഗ് വീണ്ടും പരിശോധിക്കുക.
tool_bp_check_reading,Check Reading,റീഡിംഗ് പരിശോധിക്കുക
tool_bp_categories,Blood Pressure Categories,രക്തസമ്മർദ്ദ വിഭാഗങ്ങൾ
tool_bp_category,Category,വിഭാഗം
tool_bp_systolic_header,Systolic,സിസ്റ്റോളിക്
tool_bp_diastolic_header,Diastolic,ഡയസ്റ്റോളിക്
tool_bp_tips_title,Tips for accurate readings,കൃത്യമായ റീഡിംഗുകൾക്കുള്ള നുറുങ്ങുകൾ
tool_bp_tips_description,"Ensure the person has not exercised, had tea/coffee, or used tobacco in the last 30 minutes. Rest comfortably and quietly for 5 minutes before the reading.","കഴിഞ്ഞ 30 മിനിറ്റിൽ വ്യായാമം, ചായ/കാപ്പി, പുകയില ഉപയോഗം ഇല്ലെന്ന് ഉറപ്പാക്കുക. റീഡിംഗിന് മുമ്പ് 5 മിനിറ്റ് വിശ്രമിക്കുക."
tool_sugar_title,Blood Sugar Check,രക്തത്തിലെ പഞ്ചസാര പരിശോധന
tool_sugar_description,"Interpret your blood sugar readings (FBS, RBS, PPBS, or HbA1c) instantly.",നിങ്ങളുടെ രക്തത്തിലെ പഞ്ചസാര റീഡിംഗുകൾ തൽക്ഷണം വ്യാഖ്യാനിക്കുക.
tool_sugar_cta,Check now,ഇപ്പോൾ പരിശോധിക്കുക
tool_sugar_badge,Sugar Tool,ഷുഗർ ടൂൾ
tool_sugar_subtitle,Understand what your blood sugar reading means,നിങ്ങളുടെ രക്തത്തിലെ പഞ്ചസാര റീഡിംഗ് എന്താണ് അർത്ഥമാക്കുന്നതെന്ന് മനസ്സിലാക്കുക
tool_sugar_enter_reading,Enter your reading,നിങ്ങളുടെ റീഡിംഗ് നൽകുക
tool_sugar_card_description,Select the test type and enter your value,ടെസ്റ്റ് തരം തിരഞ്ഞെടുത്ത് മൂല്യം നൽകുക
tool_sugar_your_reading,Your,നിങ്ങളുടെ
tool_sugar_value_too_high,This value seems unusually high. Please double-check your reading or consult a healthcare provider immediately.,ഈ മൂല്യം അസാധാരണമായി ഉയർന്നതായി തോന്നുന്നു. റീഡിംഗ് പരിശോധിക്കുക അല്ലെങ്കിൽ ഉടൻ ഡോക്ടറെ സമീപിക്കുക.
tool_sugar_check_reading,Check Reading,റീഡിംഗ് പരിശോധിക്കുക
tool_sugar_reference_title,Blood Sugar Reference Ranges,രക്തത്തിലെ പഞ്ചസാര റഫറൻസ് ശ്രേണികൾ
tool_sugar_note_title,Important Note,പ്രധാന കുറിപ്പ്
tool_sugar_note_description,A single reading isn't enough for diagnosis. Diabetes is typically confirmed with two separate tests. Always consult a healthcare provider for proper diagnosis and treatment.,ഒരു റീഡിംഗ് മാത്രം രോഗനിർണയത്തിന് പര്യാപ്തമല്ല. പ്രമേഹം സാധാരണയായി രണ്ട് പ്രത്യേക ടെസ്റ്റുകൾ ഉപയോഗിച്ച് സ്ഥിരീകരിക്കുന്നു. ശരിയായ രോഗനിർണയത്തിനും ചികിത്സയ്ക്കും എല്ലായ്പ്പോഴും ഒരു ആരോഗ്യ ദാതാവിനെ സമീപിക്കുക.
tool_cta_title,Want a complete health check?,സമ്പൂർണ്ണ ആരോഗ്യ പരിശോധന വേണോ?
tool_cta_description,Take our full assessment for personalized risk scores and guidance.,വ്യക്തിഗത റിസ്ക് സ്കോറുകൾക്കും മാർഗ്ഗനിർദ്ദേശത്തിനും പൂർണ്ണ വിലയിരുത്തൽ എടുക്കുക.
tool_cta_button,Start Assessment,വിലയിരുത്തൽ ആരംഭിക്കുക
tool_cancer_title,Cancer Symptom Check,കാൻസർ ലക്ഷണ പരിശോധന
tool_cancer_description,Screen for early warning signs. Early detection saves lives.,നേരത്തെയുള്ള രോഗലക്ഷണങ്ങൾ തിരിച്ചറിയാൻ പരിശോധിക്കുക. നേരത്തെ കണ്ടെത്തുന്നത് ജീവൻ രക്ഷിക്കാൻ സഹായിക്കും.
tool_cancer_cta,Check now,ഇപ്പോൾ പരിശോധിക്കുക
tool_cancer_badge,Screening Tool,സ്ക്രീനിംഗ് ടൂൾ
tool_cancer_subtitle,Early detection saves lives. Answer honestly — this is for your awareness.,നേരത്തെ കണ്ടെത്തുന്നത് ജീവൻ രക്ഷിക്കാൻ സഹായിക്കും. സത്യസന്ധമായി ഉത്തരം നൽകുക — ഇത് നിങ്ങളുടെ അറിവിലേക്കാണ്.
tool_cancer_gender_title,"First, tell us your gender","ആദ്യം, നിങ്ങളുടെ ലിംഗം പറയുക"
tool_cancer_gender_description,This helps us ask the right questions,ശരിയായ ചോദ്യങ്ങൾ ചോദിക്കാൻ ഇത് സഹായിക്കുന്നു
tool_cancer_general_symptoms,General symptoms,പൊതു ലക്ഷണങ്ങൾ
tool_cancer_symptoms_description,Have you experienced any of these in the past few months?,കഴിഞ്ഞ കുറച്ച് മാസങ്ങളിൽ ഇവയിലേതെങ്കിലും അനുഭവിച്ചിട്ടുണ്ടോ?
tool_cancer_women_symptoms,Women-specific symptoms,സ്ത്രീകൾക്ക് പ്രത്യേകമായ ലക്ഷണങ്ങൾ
tool_cancer_women_symptoms_description,Additional symptoms to check,പരിശോധിക്കേണ്ട അധിക ലക്ഷണങ്ങൾ
tool_cancer_check_symptoms,Check Symptoms,ലക്ഷണങ്ങൾ പരിശോധിക്കുക
tool_cancer_consult_title,Please consult a doctor,ഡോക്ടറെ സമീപിക്കുക
